workflow_id,commit_sha,task,category,horizon,condition,rep,model,provider,model_tier,benchmark_profile,passed,acceptance_oracle_passed,project_tests_passed,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,tokens,cost_usd,rework_turns,governance_turns,llm_turns,wall_clock_s,stop_reason,expected_file_count,written_file_count,milestones_completed,milestones_total,tokens_per_completed_milestone,language_count,tool_schema_hashes
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,UNGOVERNED,1,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,118687,3709,82103,0,122396,0.335241,1,0,11,79.273,done,6,4,1,3,122396.0,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,UNGOVERNED,2,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,126468,6066,72556,0,132534,0.487818,6,0,12,112.544,max_turns,6,3,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,UNGOVERNED,3,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,147754,4822,76422,0,152576,0.539531,5,0,11,94.455,done,6,3,1,3,152576.0,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,UNGOVERNED,4,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,127380,3637,91761,0,131017,0.333085,2,0,12,71.851,max_turns,6,4,1,3,131017.0,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,UNGOVERNED,5,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,92537,3651,69790,0,96188,0.25816,3,0,11,63.162,done,6,4,1,3,96188.0,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,UNGOVERNED,6,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,104225,3989,64481,0,108214,0.350631,2,0,9,78.087,done,6,2,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,UNGOVERNED,7,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,124312,4082,105615,0,128394,0.268752,2,0,11,90.18,done,6,4,1,3,128394.0,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,UNGOVERNED,8,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,131382,3747,100233,0,135129,0.318271,2,0,11,76.368,done,6,4,1,3,135129.0,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,UNGOVERNED,9,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,89303,3376,65311,0,92679,0.253895,5,0,9,63.96,done,6,1,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,UNGOVERNED,10,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,71595,1908,47045,0,73503,0.203512,1,0,7,39.844,done,6,1,0,3,,2,073d5dee7650d228
